Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
NOTIFICATION_SELL_START,{0} Starting item registration.,{0} 상점 등록을 시작합니다.,Vou me preparar para vender o {0},{0}をマーケットに登録する。,Lo tendré listo para vender {0},ฉันเตรียมตัวพร้อมที่จะขาย {0},{0} Memulai pendaftaran item.,,我将准备出售{0},我準備出售{0},Ihahanda ko nang ibenta ang {0},Bắt đầu đăng ký {0} trang bị.
NOTIFICATION_SELL_COMPLETE,{0} Item registration is complete.,{0} 상점 등록이 완료되었습니다.,Eu registrei para venda o {0},{0}の登録が完了した。,Lo registré para vender {0},ฉันลงทะเบียนเพื่อขาย {0},{0} Pendaftaran item selesai.,,我已注册出售{0},我登記了出售{0},Narehistro ko na para ibenta ang {0},Hoàn tất đăng ký {0} trang bị.
NOTIFICATION_BUY_START,Requesting purchase of {0}.,{0} 구매를 신청합니다.,Compra efetuada ! Vou entregar o {0},{0}の購入を試みます。,Compra completa! Estoy entregándolo {0},ซื้อเสร็จ! กำลังจัดส่ง {0},{0} Mengajukan permohonan untuk membeli.,,购买完成！ 我正在交付{0},購買完整！我要交付{0},Matagumpay ang pagbili! Ihahatid ko na ang {0},Đăng ký mua {0}.
NOTIFICATION_SELL_CANCEL_START,Canceling sale of {0}.,{0} 판매를 취소합니다.,Vou cancelar a venda do {0},{0}の販売登録をキャンセルしてみます。,Cancelaré la venta de {0},ยกเลิกการขาย {0},{0} Membatalkan penjualan.,,我将取消出售{0},我將取消{0}的銷售,Kakanselahin ko ang pagbebenta ng {0},Hủy bán {0}.
NOTIFICATION_SELL_CANCEL_COMPLETE,Sale cancellation of {0} is complete.,{0} 판매 취소가 완료되었습니다.,Terminei de remover o registro do {0},{0}の登録がキャンセルできました。,He cancelado la venta de {0},ฉันยกเลิกการลงทะเบียน {0} เสร็จแล้ว,{0} Pembatalan penjualan berhasil.,,我已经完成了未注册的{0},我已經取消了{0}的銷售,Nakansela ko na ang pagbebenta ng {0},Hủy bán {0} đã hoàn tất.
NOTIFICATION_BUY_BUYER_COMPLETE,Delivery complete! Paying {1}.,{0} 배달 완료! {1}를 지불합니다.,Com sucesso recebeu {0} e {1} pago.,{0}の配送完了！{1}を払います。,Exitósamente recibido {0} y {1} pagado.,ได้รับการประสบความสำเร็จ {0} และจ่ายเงิน {1},{0} Pengiriman selesai! {1} Bayar.,Успешно получил {0} и заплатил {1}.,成功接收的{0}和支付{1}。,成功收到{0}並付款{1}。,Matagumpay na natanggap ang {0} at nabayaran ng {1},Giao hàng hoàn thành! Trả {1}.
NOTIFICATION_BUY_SELLER_COMPLETE,{{{0}}} just purchased {1} item(s).,{{{0}}}가 방금 {1} 아이템을 구매했습니다.,{{{0}}} Comprou o seu {1}!,{{{0}}}があなたの {1}を購入しました！,{{{0}}} compró tu {1}!,{{{0}}} ซื้อ {1} ของคุณ!,{{{0}}} Baru saja membeli {1} item.,,{{{0}}}购买了您的{1}！,{{{{0}}}購買了您的{1}！,Binili ni {{{0}}} ang iyong {1}!,{{{0}}} vừa mới mua {1} trang bị.
NOTIFICATION_QUEST_COMPLETE,Completed {0} quest.,{0} 퀘스트를 완료했습니다.,{0} quest concluída.,[{0}]クエスト完了,{0} Misión completada.,"ภารกิจ ""{0} เสร็จสมบูรณ์",{0} Misi selesai.,,{0}任务完成。,{0}任務完成。,{0} Nakumpleto ang misyon.,Đã hoàn thành {0} nhiệm vụ.
NOTIFICATION_MULTIPLE_QUEST_COMPLETE,You have {0} completed quests.,{0} 개의 완료된 퀘스트가 있습니다.,Você {0} completou a quest,{0}個の完了クエストがあります。,Tienes {0} misiones completas.,คุณมีภารกิจที่เสร็จสมบูรณ์แล้ว {0} รายการ,Anda sudah menyelesaikan {0} misi.,,您已经完成{0}个任务。,您有{0}完成的任務。,Mayroon kang {0} natapos na misyon.,Bạn đã hoàn thành {0} nhiệm vụ.
NOTIFICATION_QUEST_REWARD,Received {0} quest rewards.,{0} 퀘스트 보상을 수령했습니다.,Você recebeu {0} recompensas da quest,[{0}]クエストの報酬を受け取りました。,Has recibido {0} premios de la misión.,คุณได้รับ {0} รางวัลภารกิจ,Anda telah menerima {0} hadiah misi.,,您已经获得了{0}个任务奖励。,您已收到{0}任務獎勵。,Ikaw ay nakatanggap ng {0} galing sa misyon.,Đã nhận {0} phần thưởng nhiệm vụ.
